India,Rajasthan,Jodhpur,,,Ranbanka Hotel,Near Circuit House,Jodhpur,342 006,512 801-803,ranbanka@ndf.vsnl.net.in,,,291,13,,H,
India,Rajasthan,Jodhpur,,,Ratan Vilas,Loco Shed Road  Near Bhasker Circle  Ratananda,Jodhpur,342 001,"261 3011, 261 4418, 513 2448",ratanvilas@gmail.com  res@ratanvilas.com  ,www.ratanvilas.com,,291,13,,H,
India,Rajasthan,Jodhpur,,,Ratan Vilas,Loco Shed Road  Near Bhasker Circle  Ratananda,Jodhpur,342 001,"261 3011, 261 4418, 513 2448",ratanvilas@gmail.com  res@ratanvilas.com  ,www.ratanvilas.com,,291,13,,HH,
India,Rajasthan,Jodhpur,,,Ratan Vilas,Loco Shed Road  Near Bhasker Circle  Ratananda,Jodhpur,342 001,"261 3011, 261 4418, 513 2448",ratanvilas@gmail.com  res@ratanvilas.com  ,www.ratanvilas.com,,291,13,,ST,5
India,Rajasthan,Jodhpur,,,Ratan Vilas,Loco Shed Road  Near Bhasker Circle  Ratananda,Jodhpur,342 001,"261 3011, 261 4418, 513 2448",ratanvilas@gmail.com  res@ratanvilas.com  ,www.ratanvilas.com,,291,13,,WEB,
India,Rajasthan,Jodhpur,,,Ratan Vilas,Loco Shed Road  Near Bhasker Circle  Ratananda,Jodhpur,342 001,"261 3011, 261 4418, 513 2448",ratanvilas@gmail.com  res@ratanvilas.com  ,www.ratanvilas.com,,291,13,,RIK,
India,Rajasthan,Kanota,,Narain Niwas Palace,Castle Kanota,(15 Km. East of Jaipur on Jaipur-Agra Highway),Kanota,,"234 033, 234 660",info@hotelnarainniwas.com,https://castlekanota.com/,,1429,13,,H,
India,Rajasthan,Kesroli,,,The Hill Fort,Village Kesroli  Near M.I.A.   Alwar,Kesroli,301 030,89 352,hillfort@neemranahotels.com,http://www.neemranahotels.com/hill-fort-kesroli-alwar-rajasthan,,1468,13,"98294 99901, 95878 85005",H,
India,Rajasthan,Khejarla,Fort Khejarla - Booking Office,,Fort Khejarla,P O Khejarla  District Jodhpur,Khejarla,,"258486, 258485",khejarlafort@gmail.com  reservationfortkhejarla@yahoo.com  reservation@jodhpurfortkhejarla.com,www.jodhpurfortkhejarla.com,,2930,13,,H,
India,Rajasthan,Khimsar,Welcome Heritage,,Khimsar Fort,P.O. Khimsar  Dist. Nagaur,Khimsar,341 025,62 345 to 62 349,khimsar@jp1.vsnl.net.in,www.rajasthanonline.com/khimsarfort,,1585,13,,H,
India,Rajasthan,Kishangarh,,,Phool Mahal Palace,,Kishangarh,305 802,"247405, 247505",phoolmahalpalace@yahoo.com,www.royalkishangarh.com,,1463,13,,H,
India,Rajasthan,Kota,,,Palkiya Haveli,Mokha Para  Near Suraj Pole,Kota,324 006,"2328 797, 2327 375",,,,744,13,,H,
India,Rajasthan,Kota,,,Sukhdham Kothi,Civil Lines,Kota,324 001,"2320081, 2332661",sukhdhamkothi@gmail.com  info@sukhdhamkothi.com  ,www.sukhdhamkothi.com,,744,13,,H,
India,Rajasthan,Kota,Welcome Heritage,,Umed Bhawan Palace,Station Road  ,Kota,324 001,325 262-65,,,,744,13,,H,
India,Rajasthan,Kuchaman,The Kuchaman Fort - Sales & Marketing,,Kuchaman Fort,Kuchaman  Dist. Nagaur,Kuchaman,341 508,"220 882, 220 884",,,,1586,13,,H,
India,Rajasthan,Kumbhalgarh,HRH Group of Hotels,,The Aodhi,P.O. Kelwara  Distr. Rajsamand,Kumbhalgarh,313 325,"242341-47, 242222",crs@udaipur.hrhindia.com,"www.hrh.com, www.eternalmewar.in",,2954,13,80037 22333,H,
India,Rajasthan,Kumbhalgarh,Hotel Hilltop Palace,,Kumbhalgarh Fort Hotel,Maharana Pratap Marg  Kelwara  Dist. Rajsamand,Kumbhalgarh,313 325,242 057 - 9,,,,2954,13,,H,
India,Rajasthan,Luni,Fort Chanwa Luni,,Fort Chanwa,Village Luni  Dist. Jodhpur,Luni,  ,"284 216, 513 2244",info@fortchanwa.com,www.fortchanwa.com,,2931,13,,H,
India,Rajasthan,Mahensar,,,Narayan Niwas Castle,Dist. Jhunjhunu,Mahensar,,64 322,,,,1562,13,,H,
India,Rajasthan,Mount Abu,Welcome Heritage,,Connaught House,Rajendra Marg,Mount Abu,307 501,"238 560, 243 439, 238 900",,,,2974,13,,H,
India,Rajasthan,Nawalgarh,,,Roop Niwas Kothi,Dist. Jhunjhunu   Shekhavati,Nawalgarh,333 042,"222008, 224152",roopniwaskothi@yahoo.co.in  info@roopniwaskothi.com,www.roopniwaskothi.com,Hotel name has been changed from Roop Niwas Palace to Roop Niwas Kothi,1594,13,,H,
India,Rajasthan,Neemrana,Neemrana Hotels Pvt. Ltd.,,Neemrana Fort Palace,"122nd Milestone,  Delhi-Jaipur Highway",Neemrana,301 705,246 007,fortpalace@neemranahotels.com,http://www.neemranahotels.com/fort-palace-neemrana,,1494,13,95878 85001,HH,
India,Rajasthan,Neemrana,Neemrana Hotels Pvt. Ltd.,,Neemrana Fort Palace,"122nd Milestone,  Delhi-Jaipur Highway",Neemrana,301 705,246 007,fortpalace@neemranahotels.com,http://www.neemranahotels.com/fort-palace-neemrana,,1494,13,95878 85001,H,
India,Rajasthan,Neemrana,Neemrana Hotels Pvt. Ltd.,,Neemrana Fort Palace,"122nd Milestone,  Delhi-Jaipur Highway",Neemrana,301 705,246 007,fortpalace@neemranahotels.com,http://www.neemranahotels.com/fort-palace-neemrana,,1494,13,95878 85001,COM,1
India,Rajasthan,Pachar,,,Golden Castle Resort,Dist. Sikar  Shekhawati,Pachar,332 729,64 611,,,,1577,13,,H,
India,Rajasthan,Pachewar,Pachewar House,,Pachewar Garh,"Village Pachewar  Dist. Tonk, Via Dudu   Jaipur - Ajmer Road",Pachewar,304 509,9828341223,fortpachewargarh@hotmail.com  info@fortpachewargarh.com,www.pachewargarh.com,,,13,,H,
India,Rajasthan,Pushkar,Hotel Pushkar Palace - Booking Office,,Royal Desert Camp,Ganahera  Motisar Road  ,Pushkar,305 022,"772 957, 772 001, 772 401-03",info@pushkarpalace.com  hotelpushkarpalace@gmail.com  hotel_pushkar_palace@hotmail.com,www.hotelpushkarpalace.com,,145,13,,H,
India,Rajasthan,Rajmahal,,Narain Niwas Palace,Rajmahal Palace Hotel & Resort,,Rajmahal,,,,,,,13,,H,
India,Rajasthan,Ranakpur,Welcome Heritage,,Maharani Bagh Ochard Retreat,Sadri  near Ranakpur Temples  Dist. Pali,Ranakpur,306 702,"285 105, 285 151",,,,2934,13,,H,
India,Rajasthan,Rohet,,,Rohet Garh,Village P.O. Rohet  Dist. Pali,Rohet,306 401,"268 231, 268 531",reservations@houseofrohet.com  vipina@houseofrohet.com,www.rohetgarh.com,,2936,13,,HH,
India,Rajasthan,Rohet,,,Rohet Garh,Village P.O. Rohet  Dist. Pali,Rohet,306 401,"268 231, 268 531",reservations@houseofrohet.com  vipina@houseofrohet.com,www.rohetgarh.com,,2936,13,,H,
India,Rajasthan,Rohet,,,Rohet Garh,Village P.O. Rohet  Dist. Pali,Rohet,306 401,"268 231, 268 531",reservations@houseofrohet.com  vipina@houseofrohet.com,www.rohetgarh.com,,2936,13,,COM,1
India,Rajasthan,Rohet,,,Rohet Garh,Village P.O. Rohet  Dist. Pali,Rohet,306 401,"268 231, 268 531",reservations@houseofrohet.com  vipina@houseofrohet.com,www.rohetgarh.com,,2936,13,,WEB,
India,Rajasthan,Rohet,,,Rohet Garh,Village P.O. Rohet  Dist. Pali,Rohet,306 401,"268 231, 268 531",reservations@houseofrohet.com  vipina@houseofrohet.com,www.rohetgarh.com,,2936,13,,RIK,
India,Rajasthan,Roopangarh,,Phool Mahal Palace,Roopangarh Fort,,Roopangarh,305 814,"220217, 220444",roopangarhfort@yahoo.co.uk,www.royalkishangarh.com ,,1497,13,,H,
India,Rajasthan,Sardar Samand,Welcome Heritage,,Sardar Samand Palace,Dist. Pali,Sardar Samand,306 103,245001-3,holidays@welcomheritagehotels.com,www.welcomeheritagehotels.com,,2960,13,,H,
India,Rajasthan,Sodawas,,,Karni Kot,via Somesar  Dist. Pali  ,Sodawas,,44 928,,,,2932,13,,H,
India,Rajasthan,Jaipur,,,Ramgarh Hotel Resort & Polo Club,,Jaipur,,,,,,,13,,H,
India,Rajasthan,Jodhpur,,,Badu Haveli,,Jodhpur,,,,,,,13,,H,
India,Rajasthan,Udaipur,Taj Group of Hotels,,Taj Fateh Prakash Palace,City palace,Udaipur,313 001,2528 016 -19,,hrhindia.com,,294,13,,H,
India,Rajasthan,Udaipur,Taj Group of Hotels,,Taj Fateh Prakash Palace,City palace,Udaipur,313 001,2528 016 -19,,hrhindia.com,,294,13,,HH,
India,Rajasthan,Udaipur,Taj Group of Hotels,,Taj Fateh Prakash Palace,City palace,Udaipur,313 001,2528 016 -19,,hrhindia.com,,294,13,,WEB,
India,Rajasthan,Udaipur,Taj Group of Hotels,,Taj Fateh Prakash Palace,City palace,Udaipur,313 001,2528 016 -19,,hrhindia.com,,294,13,,SH,1
India,Rajasthan,Udaipur,,,Shikarbadi Hotel,Goverdhan Vilas,Udaipur,  ,2583 200 - 04,gmshk@shk.hrhindia.com,,,294,13,,H,
India,Rajasthan,Gajner,,,Gajner Palace Hotel,P.O. Gajner  Tehsil Kolayat  Bikaner district,Gajner,334 301,275061-69,crs@udaipur.hrhindia.com,www.hrhhotels.com,,1534,13,,H,
India,Rajasthan,Gajner,,,Gajner Palace Hotel,P.O. Gajner  Tehsil Kolayat  Bikaner district,Gajner,334 301,275061-69,crs@udaipur.hrhindia.com,www.hrhhotels.com,,1534,13,,HH,
India,Rajasthan,Bikaner,,,Karni Bhawan Palace,Gandhi Colony,Bikaner,343 001,524 701-5,,,,151,13,,H,
India,Rajasthan,Bikaner,Shiv Niwas Palace,,Maan Bilas,Lalgarh Palace Complex,Bikaner,343 001,524 711-12,,,,151,13,,H,
India,Uttar Pradesh,Kuchesar,Travelesque International,,The Mud Fort,Village Kuchesar  via B.B. Nagar   Dist. Bulandahahr,Kuchesar,245 402,273038/39,drajora@hotmail.com ,,,5736,13,,H,
India,Uttar Pradesh,Kuchesar,Travelesque International,,The Mud Fort,Village Kuchesar  via B.B. Nagar   Dist. Bulandahahr,Kuchesar,245 402,273038/39,drajora@hotmail.com ,,,5736,13,,ST,1
India,Uttarakhand,Rishikesh,Neemrana Hotels Pvt. Ltd.,,The Glass House on the Ganges,23rd Milestone  Rishikesh - Badrinath Road  P.O. & Villargular Dogi  Dist. Tehri Garhwal,Rishikesh,249 303,"269 224, 269 218",glasshouse@neemranahotels.com,http://www.neemranahotels.com/glass-house-on-the-ganges-rishikesh,,1378,13,99 1719 1115,H,
India,Uttarakhand,Rishikesh,Neemrana Hotels Pvt. Ltd.,,The Glass House on the Ganges,23rd Milestone  Rishikesh - Badrinath Road  P.O. & Villargular Dogi  Dist. Tehri Garhwal,Rishikesh,249 303,"269 224, 269 218",glasshouse@neemranahotels.com,http://www.neemranahotels.com/glass-house-on-the-ganges-rishikesh,,1378,13,99 1719 1115,COM,2
India,Uttarakhand,Rishikesh,Neemrana Hotels Pvt. Ltd.,,The Glass House on the Ganges,23rd Milestone  Rishikesh - Badrinath Road  P.O. & Villargular Dogi  Dist. Tehri Garhwal,Rishikesh,249 303,"269 224, 269 218",glasshouse@neemranahotels.com,http://www.neemranahotels.com/glass-house-on-the-ganges-rishikesh,,1378,13,99 1719 1115,WEB,
India,Uttarakhand,Rishikesh,Neemrana Hotels Pvt. Ltd.,,The Glass House on the Ganges,23rd Milestone  Rishikesh - Badrinath Road  P.O. & Villargular Dogi  Dist. Tehri Garhwal,Rishikesh,249 303,"269 224, 269 218",glasshouse@neemranahotels.com,http://www.neemranahotels.com/glass-house-on-the-ganges-rishikesh,,1378,13,99 1719 1115,RIK,
India,Uttarakhand,Ramgarh,Neemrana Hotels Pvt. Ltd.,,The Ramgarh Bungalows,Ramgarh (Malla)   Kumaon Hills  Dist. Nainital,Ramgarh,263 137,228 1156,ramgarhbungalows@neemranahotels.com,http://www.neemranahotels.com/the-ramgarh-bungalows-kumaon-hills-nainital,,5942,13,94111 08156,H,
India,Uttarakhand,Ramgarh,Neemrana Hotels Pvt. Ltd.,,The Ramgarh Bungalows,Ramgarh (Malla)   Kumaon Hills  Dist. Nainital,Ramgarh,263 137,228 1156,ramgarhbungalows@neemranahotels.com,http://www.neemranahotels.com/the-ramgarh-bungalows-kumaon-hills-nainital,,5942,13,94111 08156,HH,
India,Uttarakhand,Ramgarh,Neemrana Hotels Pvt. Ltd.,,The Ramgarh Bungalows,Ramgarh (Malla)   Kumaon Hills  Dist. Nainital,Ramgarh,263 137,228 1156,ramgarhbungalows@neemranahotels.com,http://www.neemranahotels.com/the-ramgarh-bungalows-kumaon-hills-nainital,,5942,13,94111 08156,ST,1
India,Uttarakhand,Ramgarh,Neemrana Hotels Pvt. Ltd.,,The Ramgarh Bungalows,Ramgarh (Malla)   Kumaon Hills  Dist. Nainital,Ramgarh,263 137,228 1156,ramgarhbungalows@neemranahotels.com,http://www.neemranahotels.com/the-ramgarh-bungalows-kumaon-hills-nainital,,5942,13,94111 08156,WEB,
India,Rajasthan,Delwara,,,Raas Devigarh,"NH8, Near Eklingji Temple",Delwara,313 202,2636455,reservations@raasdevigarh.com,http://www.raasdevigarh.com/,,291,13,99289 72211,H,
India,Rajasthan,Delwara,,,Raas Devigarh,"NH8, Near Eklingji Temple",Delwara,313 202,2636455,reservations@raasdevigarh.com,http://www.raasdevigarh.com/,,291,13,99289 72211,HH,
India,Rajasthan,Delwara,,,Raas Devigarh,"NH8, Near Eklingji Temple",Delwara,313 202,2636455,reservations@raasdevigarh.com,http://www.raasdevigarh.com/,,291,13,99289 72211,SH,1
India,Rajasthan,Delwara,,,Raas Devigarh,"NH8, Near Eklingji Temple",Delwara,313 202,2636455,reservations@raasdevigarh.com,http://www.raasdevigarh.com/,,291,13,99289 72211,WEB,
India,Rajasthan,Bhenswara,Nouvelle Hotels & Resorts,,Ravla Bhenswara,P.O. Bhenswara  Tehsil - Ahore  Dist. Jalore,Bhenswara,,"222 187, 222 080",  ,www.ravlabhenswara.com,,2978,13,"98280 70734, 88903 95971",H,
India,Rajasthan,Bhenswara,Nouvelle Hotels & Resorts,,Ravla Bhenswara,P.O. Bhenswara  Tehsil - Ahore  Dist. Jalore,Bhenswara,,"222 187, 222 080",  ,www.ravlabhenswara.com,,2978,13,"98280 70734, 88903 95971",HH,
India,Rajasthan,Bhenswara,Nouvelle Hotels & Resorts,,Ravla Bhenswara,P.O. Bhenswara  Tehsil - Ahore  Dist. Jalore,Bhenswara,,"222 187, 222 080",  ,www.ravlabhenswara.com,,2978,13,"98280 70734, 88903 95971",ST,1
India,Rajasthan,Bhenswara,Nouvelle Hotels & Resorts,,Ravla Bhenswara,P.O. Bhenswara  Tehsil - Ahore  Dist. Jalore,Bhenswara,,"222 187, 222 080",  ,www.ravlabhenswara.com,,2978,13,"98280 70734, 88903 95971",WEB,
India,Rajasthan,Bhenswara,Nouvelle Hotels & Resorts,,Ravla Bhenswara,P.O. Bhenswara  Tehsil - Ahore  Dist. Jalore,Bhenswara,,"222 187, 222 080",  ,www.ravlabhenswara.com,,2978,13,"98280 70734, 88903 95971",RIK,
India,Gujarat,Balaram,,,Balaram Palace Resort,Village Chitrasani   off Abu-Palanpur Highway No. 14 (B.K),Balaram,  ,"84 278, 84 378 - 80",bprhot@ad1.vsnl.net.in  ,www.semaphore-software.com/balaram,,2742,13,,H,
India,Gujarat,Bhavnagar,,,Dil Bahar ,Waghawadi Road  Opp. Victoria Park,Bhavnagar,364 002,568 391,,www.gujarat.net/gondal,,278,13,,H,
India,Gujarat,Bhuj,North West Safaries,,Hotel Prince,Station Road  Kutch,Bhuj,370 001,"22 0370, 25 0372, 25 2370, 25 6355",info@hotelprinceonline.com  ,www.hotelprinceonline.com,,2832,13,,H,
India,Diu,Diu,,,Radhika Beach Resort,Nagoa,Diu,362 520,25 2553-55,radhikaresort@gmail.com  info@radhikaresort.com  ,www.radhikaresort.com,,2875,13,"99248 85555, 98244 18555",H,
India,Diu,Diu,,,Radhika Beach Resort,Nagoa,Diu,362 520,25 2553-55,radhikaresort@gmail.com  info@radhikaresort.com  ,www.radhikaresort.com,,2875,13,"99248 85555, 98244 18555",ST,1
India,Diu,Diu,,,Radhika Beach Resort,Nagoa,Diu,362 520,25 2553-55,radhikaresort@gmail.com  info@radhikaresort.com  ,www.radhikaresort.com,,2875,13,"99248 85555, 98244 18555",RIK,
India,Diu,Diu,,,Radhika Beach Resort,Nagoa,Diu,362 520,25 2553-55,radhikaresort@gmail.com  info@radhikaresort.com  ,www.radhikaresort.com,,2875,13,"99248 85555, 98244 18555",WEB,
India,Gujarat,Surat,,,Holiday Inn,Ambica Niketan  Parle Point  Athawa Lines,Surat,395 007,666 565,,,,261,13,,H,
India,Gujarat,Poshina,North West Safaries,,Darbargadh Palace Hotel ,Via Khedbrahma  Sabarkantha,Poshina,  ,"283 325, 283 558",poshina@hotmail.com,www.poshina.in,,2775,13,,H,
India,Tamil Nadu,Chennai,,,Ambassador Pallava,53 Moniteith Road,Chennai,600 008,"855 4476, 855 4068",gm.amma@amb.wiprobt.ems.vsnl.net.in,,,44,13,,H,
India,Tamil Nadu,Chennai,,,Hotel MGM Grand,,Chennai,  ,,,,,,13,,H,
India,Kerala,Poovar,,,Poovar Island Resort,"K.P. VII/911, Paruthiyoor  Kulathoor Panchayat  Pozhiyoor P.O.  South of Thiruvanthapuram",Poovar,695 513,"212 068, 212 069, 212 070",poovar@md5.vsnl.net.in,sarovarparkplaza.com,,471,13,,H,
India,Tamil Nadu,Coimbatore,,,Heritage Inn,"38, Sivaswamy Road  Ramnagar",Coimbatore,641 009,"230 011, 231 451, 236 094",heritageinn@vsnl.com,www.richsoft.com/heritageinn,,422,13,,H,
India,Tamil Nadu,Coonoor,,,The Tryst,Carolina House  Carolina Tea Estate  P O Box No 6  Nilgiris,Coonoor,643 102,220 7057,tryst@md3.vsnl.net.in,trystindia.com,,423,13,,H,
India,Tamil Nadu,Mamallapuram,,,MGM Beach Resorts,1/74 New Mahabalipuram Road  Dist. Kanchipuram  Muttukadu  Covelong,Mamallapuram,603 112,"45 360, 45 435",mgmwins@md3.vsnl.net.in,,,4114,13,,H,
India,Tamil Nadu,Kodaikanal,,,The Carlton,Lake Road,Kodaikanal,624 101,400 56 to 400 71,carlton@md3.vsnl.net.in,,,4542,13,,H,
India,Tamil Nadu,Kodaikanal,,,Hotel Garden Manor,Lake Road,Kodaikanal,624 101,"40 461, 40 463, 42 176",,indiamart.com/sealordhotel/gardenmanor,,4542,13,,H,
India,Tamil Nadu,Kodaikanal,,,Hotel Kodai International,17/328 Lwsghat Road  ,Kodaikanal,624 101,"40 649, 40 767",,,,4542,13,,H,
India,Tamil Nadu,Kodaikanal,,,Hotel Valley View,Post Office Road,Kodaikanal,642 101,40 181- 4,,,,4542,13,,H,
India,Tamil Nadu,Madurai,,,Hotel Madurai Ashok,Alagarkoil Road,Madurai,625 002,537 531 - 40,ashokmadu@vsnl.com,,,452,13,,H,
India,Tamil Nadu,Madurai,,,Hotel Park Plaza,114 115 West Perumal Maistry Street,Madurai,625 011,,,,,,13,,H,
India,Tamil Nadu,Mamallapuram,,,Temple Bay Ashok Beach Resort,,Mamallapuram,603 104,"42 251- 54, 43 051- 54",,,,4114,13,,H,
India,Tamil Nadu,Mamallapuram,,,Golden Sun Hotel Beach Resort,"59, Kovelong Road",Mahabalipuram,  ,"42 245, 42 246, 42 946",,,,4114,13,,H,
India,Tamil Nadu,Mamallapuram,,,TTDC Hotel Tamil Nadu,Beach Resort Complex,Mahabalipuram,603 104,"42 235, 42 361",,,,4114,13,,H,
India,Tamil Nadu,Mudumalai,,,Jungle Hut,Bokkapuram  P.O. Nilgiris  Masinagudi,Mudumalai,643 223,"252 6463, 252 6240",mail@junglehut.in,https://www.junglehut.in/,,423,13,97876 33433 (for reservations),H,
India,Tamil Nadu,Mudumalai,,,Jungle Retreat,Bokkapuram  Masinagudi  P.O. Nilgiri Dist.,Mudumalai,643 223,"252 6469, 252 6470, 252 6459",bookings@jungleretreat.com,www.jungleretreat.com,,423,13,,H,
India,Tamil Nadu,Ootacamund,,,Hotel Nahar Nilgiris,Charring Cross,Ootacamund (Ooty),643 001,"42 , 43 685173",,,,423,13,,H,
India,Tamil Nadu,Ootacamund,,,Hotel Wellington Riga,"P.B. No. 2, Appelby Road  Wellington  The Nilgiris",Ootacamund (Ooty),643 232,"31 512, 31 742, ",sacsbcc@giasmd01.vsnl.net.in,,,423,13,,H,
India,Tamil Nadu,Thanjavur,,,Hotel Parisutham,P.O.Box 86  55-G A Canal Road  ,Tanjore,613 001,"31 801, 31 844",,www.bayarea.net/~jude/india/tanjavur.html,,4362,13,,H,
India,Tamil Nadu,Thanjavur,,,Hotel Oriental Towers,"2889, Srinivasam Pillai Road",Tanjore,613 001,"230 724, 231 467",reservations@hotelorientaltowers.com  tnj_hotowers@sancharnet.in,,,4362,13,,H,
India,Tamil Nadu,Thanjavur,,,TTDC Hotel Tamil Nadu,Gandhiji Road,Tanjore,613 001,"31 421, 31 024, 31 972",,,,4362,13,,H,
India,Tamil Nadu,Tiruchirappalli,,,Breeze Residency,3/14 Mc Donalds Road,Tiruchirappalli,620 001,241 4414,brreservation@breezehotel.com,www.breezehotel.com,,431,13,,H,
India,Tamil Nadu,Tiruchirappalli,,,Hotel Sangam,Collector's Office Road,Tiruchirappalli,620 001,"414 700, 414 480",,hotelsangam.com,,431,13,,H,
India,Tamil Nadu,Tiruchirappalli,,,Femina Hotel,14 - C Williams Road  Cantonment,Tiruchirappalli,620 001,"414 501, 414 274",femina@md3.vsnl.net.in,,,431,13,,H,
India,Tamil Nadu,Yercaud,,,Hotel Shevaroys,Hospital Road  Dist. Salem,Yercaud,  ,"22 288, 22 383, 22 385",,,,4231,13,,H,
India,Tamil Nadu,Chennai,,,The Sindoori Central Hotel,,Chennai,,"586 647, 582 932, 584 171, 584 091, 588 952, 588 959, 583 797, 582 453, 584 780",sindoori@giasmd01.vsnl.net.in,,,44,13,,H,
India,Kerala,Alleppey,,,Pulickattil Wood House,Nehru Trophi Finishing Point,Alleppey,688 013,"244 790, 261 487",,,,477,13,,H,
India,Kerala,Alleppey,,,Kayaloram Lake Resort,,Allapuzha,688 011,"242 040, 241 573",kayaloram@vsnl.com,www.kayaloram.com,,477,13,,H,
India,Kerala,Alleppey,,,Keraleeyam Heritage Home and Ayurvedic Resort,Thathampally,Alleppey,688 006,"241 468, 253 950",mail@keraleeyam.com,www.keraleeyam.com,,477,13,,H,
India,Kerala,Mararikulam,Travelcart India Pvt Ltd,,The Marari Beach Resort,Distr. Allapuzha,Mararikulam,688 549,"286 3801, 286 3802",mararibeach@cghearth.com,www.cghearth.com,,478,13,,H,
India,Kerala,Mararikulam,Travelcart India Pvt Ltd,,The Marari Beach Resort,Distr. Allapuzha,Mararikulam,688 549,"286 3801, 286 3802",mararibeach@cghearth.com,www.cghearth.com,,478,13,,SH,1
India,Kerala,Mararikulam,Travelcart India Pvt Ltd,,The Marari Beach Resort,Distr. Allapuzha,Mararikulam,688 549,"286 3801, 286 3802",mararibeach@cghearth.com,www.cghearth.com,,478,13,,WEB,
India,Kerala,Kochi,Travelcart India Pvt Ltd,,The Brunton Boatyard,"Near Aspinwall, Calvetty  Fort Cochin",Kochi,682 001,"221 5461, 221 5462, 221 5463",bruntonboatyard@cghearth.com,www.cghearth.com,,484,13,,H,
India,Kerala,Kochi,Travelcart India Pvt Ltd,,The Brunton Boatyard,"Near Aspinwall, Calvetty  Fort Cochin",Kochi,682 001,"221 5461, 221 5462, 221 5463",bruntonboatyard@cghearth.com,www.cghearth.com,,484,13,,SH,1
India,Kerala,Kochi,Travelcart India Pvt Ltd,,The Brunton Boatyard,"Near Aspinwall, Calvetty  Fort Cochin",Kochi,682 001,"221 5461, 221 5462, 221 5463",bruntonboatyard@cghearth.com,www.cghearth.com,,484,13,,WEB,
India,Kerala,Kochi,Travelcart India Pvt Ltd,,The Brunton Boatyard,"Near Aspinwall, Calvetty  Fort Cochin",Kochi,682 001,"221 5461, 221 5462, 221 5463",bruntonboatyard@cghearth.com,www.cghearth.com,,484,13,,HH,
India,Kerala,Kochi,,,The Malabar House,"1/268, 1/269 Parade Road  Fort Cochin",Kochi,682 001,221 6666,info@malabarhouse.com,www.malabarhouse.com,,484,13,,H,
India,Kerala,Kochi,,,The Malabar House,"1/268, 1/269 Parade Road  Fort Cochin",Kochi,682 001,221 6666,info@malabarhouse.com,www.malabarhouse.com,,484,13,,HH,
India,Kerala,Kochi,,,The Malabar House,"1/268, 1/269 Parade Road  Fort Cochin",Kochi,682 001,221 6666,info@malabarhouse.com,www.malabarhouse.com,,484,13,,SH,2
India,Kerala,Kochi,,,The Malabar House,"1/268, 1/269 Parade Road  Fort Cochin",Kochi,682 001,221 6666,info@malabarhouse.com,www.malabarhouse.com,,484,13,,WEB,
India,Kerala,Kochi,,,Fort Heritage,"1/283, Napier Street  Fort Cochin",Kochi,682 001,"221 5333, 221 5455, 221 6901, 221 5903",fortheritage@fortheritage.com  hapynest@fortheritage.com,www.fortheritage.com,,484,13,,HH,
India,Kerala,Kochi,,,Fort Heritage,"1/283, Napier Street  Fort Cochin",Kochi,682 001,"221 5333, 221 5455, 221 6901, 221 5903",fortheritage@fortheritage.com  hapynest@fortheritage.com,www.fortheritage.com,,484,13,,H,
India,Kerala,Muvattupuzha,,,Haritha Farms,Kadalikad Post  ,Muvattupuzha,686 670,260 216,harithafarms@hotmail.com  haritha@satyam.net.in  h,www.harithafarms.indianet.orgib,,485,13,,H,
India,Kerala,Kollam,,,Ashtamudi Resorts,Chavara South,Kollam,691 584,882 288,astamlid@md3.vsnl.net.in,www.astamudi.com,,476,13,,H,
India,Kerala,Kollam,,,Palm Lagoon Backwater Rsorts,Vellimon West,Quilon,691 511,523 974 (r) 451 014,,,,474,13,,H,
India,Kerala,Paravur,,,Aquaserene,South Paravoor  P.O Kollam Dist.,Paravur,691 301,2512 410 to 2512 417,aqserene@md3.vsnl.net.in,www.aquasereneindia.com,,474,13,,H,
India,Kerala,Kovalam,Niraamaya Retreats Private Limited,,Niraamaya Retreats Surya Samudra Kovalam,Pulinkudi  P.O.Mullur  Thiruvananthapuram,Kovalam,695 521,"2267333,  2480413, 2267824",reservations@niraamaya.in,http://www.niraamaya.in,,471,13,,H,
India,Kerala,Kovalam,Niraamaya Retreats Private Limited,,Niraamaya Retreats Surya Samudra Kovalam,Pulinkudi  P.O.Mullur  Thiruvananthapuram,Kovalam,695 521,"2267333,  2480413, 2267824",reservations@niraamaya.in,http://www.niraamaya.in,,471,13,,SH,1
India,Kerala,Kovalam,Niraamaya Retreats Private Limited,,Niraamaya Retreats Surya Samudra Kovalam,Pulinkudi  P.O.Mullur  Thiruvananthapuram,Kovalam,695 521,"2267333,  2480413, 2267824",reservations@niraamaya.in,http://www.niraamaya.in,,471,13,,WEB,
India,Kerala,Kovalam,,,Lagoona Davina,P.O. Pachalloor  Thiruvananthapuram  ,Kovalam,695 027,480 049,davindia@hotmail.com,,,471,13,,H,
India,Kerala,Kovalam,,,Somatheeram Ayurvedic Beach Resort,P.O. Chowara  South of Kovalam,Kovalam,695 501,268 101 (7 lines),somatheeram@vsnl.com,somatheeram.com,,471,13,,H,
India,Kerala,Kovalam,,,Coconut Bay Beach Resort,P.O. Mulloor  Vizhinjam  Thiruvananthapuram,Kovalam,695 521,"480 566, 480 668",cocobay@vsnl.com,www.coconutbay.com,,471,13,,H,
